activ	provin	anio
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2015
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2016
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MANABI	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2015
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	MORONA SANTIAGO	2017
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2015
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2016
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	PICHINCHA	2017
9	SANTA ELENA	2015
9	SANTA ELENA	2015
9	SANTA ELENA	2015
9	SANTA ELENA	2015
9	SANTA ELENA	2015
9	SANTA ELENA	2015
9	SANTA ELENA	2015
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2016
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTA ELENA	2017
9	SANTO DOMINGO DE LOS TSACHILAS	2017
9	SANTO DOMINGO DE LOS TSACHILAS	2017
